start,duration,confidence,loudness_start,loudness_max_time,loudness_max,pitches,timbre
7.48181,0.15692,0.301,-30.791,0.00773,-25.951,[0.062 1.000 0.047 0.011 0.019 0.018 0.046 0.016 0.032 0.468 0.037 0.020],[31.070 -32.904 35.121 10.617 71.314 -59.029 -27.564 -0.588 3.875 -21.935 -3.986 5.580]}
7.63873,0.47125,1.000,-33.254,0.01291,-15.114,[0.013 0.063 0.012 0.012 0.020 0.054 1.000 0.028 0.014 0.057 0.013 0.008],[37.875 -36.482 -57.347 70.193 43.516 -60.091 -65.524 2.441 9.664 -24.623 -24.457 -5.061]}
8.10998,0.32444,1.000,-36.289,0.01807,-10.566,[0.022 0.053 0.009 0.021 0.015 0.019 0.107 0.025 1.000 0.046 0.011 0.010],[42.263 24.188 30.075 98.095 114.053 -47.476 -25.038 10.659 15.444 -17.944 -1.654 23.251]}
8.43442,0.15692,0.106,-28.712,0.02164,-25.528,[0.014 0.042 0.010 0.029 0.018 0.053 0.626 0.072 1.000 0.030 0.011 0.005],[32.400 -18.068 49.877 11.004 75.614 -45.558 -20.305 15.351 -14.176 -24.185 1.465 1.633]}
8.59134,0.31959,1.000,-31.276,0.01341,-14.592,[0.006 0.017 0.005 0.005 0.035 0.011 0.039 0.013 0.039 1.000 0.025 0.005],[39.818 -21.403 -38.542 49.755 59.886 -45.674 -71.746 1.756 18.260 -18.528 -20.175 -6.928]}
8.91093,0.15070,0.374,-30.428,0.01471,-25.605,[0.010 0.021 0.004 0.008 0.058 0.011 0.076 0.019 0.241 1.000 0.090 0.009],[30.858 -32.413 2.844 12.454 46.321 -56.985 -55.832 0.424 10.388 -17.354 -2.617 -9.914]}
9.06163,0.32512,1.000,-33.435,0.01889,-13.436,[0.028 1.000 0.024 0.012 0.011 0.028 0.035 0.013 0.057 0.046 0.007 0.010],[40.296 -0.036 0.620 76.973 83.565 -38.987 -56.509 16.725 32.282 -20.067 -5.083 -3.849]}
9.38676,0.15692,0.444,-30.697,0.00558,-25.066,[0.056 1.000 0.056 0.014 0.016 0.021 0.018 0.015 0.080 0.587 0.050 0.012],[31.624 -23.480 35.408 14.890 71.036 -61.442 -33.280 -1.172 13.066 -13.845 -3.845 5.603]}
9.54367,0.46871,1.000,-33.675,0.01295,-14.539,[0.027 0.081 0.028 0.030 0.039 0.085 1.000 0.033 0.027 0.068 0.022 0.016],[38.362 -40.174 -55.679 72.802 39.216 -56.801 -59.328 4.436 2.002 -31.872 -19.189 -9.052]}
10.01238,0.32685,1.000,-34.851,0.01908,-11.627,[0.019 0.066 0.013 0.030 0.014 0.021 0.140 0.027 1.000 0.042 0.011 0.006],[42.328 17.849 54.150 90.291 100.304 -43.977 -26.449 5.770 -1.261 -26.285 2.776 13.536]}
10.33923,0.14454,0.201,-27.920,0.01805,-24.310,[0.027 0.047 0.012 0.036 0.025 0.059 0.545 0.079 1.000 0.037 0.013 0.008],[32.971 8.482 45.044 27.879 62.984 -38.984 -26.432 4.695 -12.809 -27.875 -5.322 2.832]}
