start,duration,confidence
112.48068,0.46518,0.647
112.94586,0.46152,0.729
113.40738,0.46071,0.517
113.86810,0.45899,0.561
114.32708,0.45870,0.387
114.78578,0.45841,0.418
115.24420,0.45818,0.209
115.70238,0.45795,0.372
116.16033,0.45817,0.209
116.61850,0.46800,0.414
117.08650,0.48223,0.442
117.56873,0.48200,0.503
118.05072,0.48616,0.334
118.53689,0.50043,0.161
119.03732,0.50006,0.352
119.53738,0.50377,0.403
120.04115,0.50792,0.236
120.54907,0.49313,0.271
121.04220,0.49638,0.489
121.53858,0.50609,0.320
122.04467,0.49606,0.226
122.54073,0.51014,0.258
123.05087,0.50505,0.177
123.55592,0.50433,0.405
124.06024,0.51079,0.281
124.57103,0.51693,0.312
125.08796,0.50171,0.202
125.58967,0.50788,0.370
126.09755,0.49816,0.193
126.59571,0.51203,0.279
127.10773,0.51133,0.382
127.61906,0.51218,0.412
128.13125,0.51329,0.212
128.64453,0.52221,0.360
129.16675,0.51870,0.419
129.68545,0.51982,0.219
130.20527,0.51639,0.322
130.72166,0.51532,0.427
131.23697,0.50554,0.208
131.74252,0.50287,0.327
132.24538,0.50438,0.438
132.74976,0.49536,0.263
133.24512,0.49378,0.244
133.73891,0.49261,0.444
134.23152,0.47792,0.296
134.70944,0.48513,0.194
135.19457,0.48294,0.306
135.67751,0.47177,0.170
136.14928,0.47689,0.195
136.62617,0.47414,0.260
137.10031,0.46489,0.238
137.56520,0.46697,0.160
138.03217,0.46781,0.381
138.49998,0.46253,0.174
138.96251,0.48054,0.289
139.44305,0.48475,0.417
139.92780,0.48835,0.401
140.41615,0.49647,0.272
140.91262,0.51428,0.114
141.42690,0.51325,0.300
141.94015,0.52711,0.299
142.46725,0.51482,0.286
142.98208,0.51746,0.184
143.49954,0.52151,0.098
144.02105,0.52180,0.278
144.54285,0.51379,0.194
145.05664,0.52638,0.097
145.58302,0.51412,0.118
146.09714,0.52671,0.158
146.62385,0.51867,0.189
147.14252,0.51438,0.181
147.65690,0.51996,0.179
148.17686,0.51464,0.116
148.69150,0.49999,0.239
149.19149,0.51459,0.220
149.70607,0.51286,0.199
150.21893,0.51221,0.149
150.73114,0.52380,0.140
151.25495,0.52418,0.269
151.77913,0.53524,0.213
152.31437,0.53385,0.168
152.84822,0.52927,0.327
153.37748,0.52693,0.293
153.90441,0.54124,0.174
154.44565,0.53634,0.149
154.98200,0.53727,0.318
155.51927,0.53470,0.144
156.05397,0.54661,0.239
156.60058,0.54656,0.264
157.14714,0.53941,0.240
157.68655,0.52405,0.202
158.21060,0.52495,0.267
158.73555,0.52162,0.278
159.25716,0.52059,0.093
159.77775,0.51731,0.310
160.29506,0.51586,0.241
160.81092,0.52270,0.221
161.33362,0.53005,0.135
161.86366,0.53022,0.431
162.39388,0.52930,0.238
162.92318,0.52767,0.382
163.45086,0.52722,0.248
163.97808,0.52967,0.313
164.50775,0.52643,0.156
165.03418,0.52746,0.345
165.56164,0.52403,0.225
166.08567,0.52385,0.330
166.60952,0.52393,0.234
167.13345,0.52420,0.289
167.65765,0.51932,0.152
168.17697,0.51918,0.271
168.69615,0.51972,0.324
169.21586,0.51849,0.477
169.73435,0.51586,0.292
170.25021,0.51324,0.386
170.76345,0.51249,0.238
171.27594,0.51262,0.341
171.78856,0.51073,0.273
172.29929,0.51017,0.318
172.80946,0.50992,0.366
173.31938,0.50962,0.368
173.82900,0.50932,0.338
174.33832,0.50697,0.404
174.84530,0.50529,0.208
175.35059,0.50406,0.406
175.85465,0.50238,0.366
176.35703,0.50172,0.462
176.85875,0.50105,0.376
177.35980,0.49995,0.314
177.85974,0.50017,0.287
178.35991,0.50017,0.309
178.86008,0.49782,0.290
179.35791,0.49768,0.224
179.85559,0.49672,0.195
180.35231,0.49533,0.253
180.84763,0.49366,0.252
181.34130,0.49330,0.280
181.83460,0.49015,0.273
182.32475,0.49154,0.287
182.81629,0.48886,0.163
183.30515,0.48875,0.101
183.79390,0.48690,0.247
184.28080,0.48698,0.226
184.76778,0.48618,0.166
185.25396,0.48644,0.222
185.74040,0.48364,0.160
186.22404,0.48340,0.207
186.70744,0.48185,0.325
187.18928,0.48193,0.206
187.67122,0.47993,0.241
188.15115,0.47783,0.171
188.62898,0.47661,0.218
189.10558,0.47961,0.282
189.58519,0.47845,0.185
190.06364,0.47770,0.261
190.54134,0.47664,0.189
191.01798,0.47807,0.180
191.49605,0.47744,0.118
191.97350,0.47722,0.128
192.45072,0.47537,0.154
192.92608,0.47520,0.101
193.40129,0.47547,0.076
193.87676,0.47654,0.078
194.35330,0.47511,0.084
194.82840,0.47530,0.057
195.30370,0.47724,0.085
195.78094,0.47788,0.154
196.25882,0.47847,0.168
196.73729,0.47691,0.246
197.21420,0.47619,0.172
197.69040,0.47805,0.103
198.16845,0.47692,0.156
198.64536,0.47579,0.269
199.12115,0.47417,0.251
199.59532,0.47308,0.182
200.06840,0.47410,0.112
200.54250,0.47478,0.189
201.01729,0.47372,0.210
201.49100,0.47573,0.298
201.96673,0.47599,0.356
202.44271,0.47716,0.374
202.91987,0.47786,0.380
203.39774,0.47689,0.358
203.87463,0.47631,0.373
204.35094,0.47705,0.341
204.82799,0.47606,0.287
205.30405,0.47596,0.277
205.78000,0.47543,0.390
206.25543,0.47663,0.393
206.73207,0.47613,0.387
207.20820,0.47650,0.389
207.68470,0.47602,0.369
208.16072,0.47597,0.366
208.63668,0.47634,0.350
209.11303,0.47627,0.354
209.58930,0.47452,0.374
210.06382,0.47700,0.352
210.54082,0.47695,0.367
211.01777,0.47602,0.342
211.49379,0.47596,0.322
211.96975,0.47503,0.305
212.44478,0.47625,0.344
212.92103,0.47575,0.375
213.39677,0.47526,0.403
213.87204,0.47562,0.403
214.34766,0.47642,0.376
214.82408,0.47679,0.385
215.30087,0.47675,0.359
215.77762,0.47629,0.394
216.25391,0.47797,0.397
216.73188,0.47709,0.358
217.20897,0.47665,0.330
217.68562,0.47578,0.323
218.16140,0.47618,0.289
218.63758,0.47701,0.339
219.11459,0.47613,0.346
219.59072,0.47612,0.325
