start,duration,confidence
438.58030,1.97425,0.176
440.55455,2.00224,0.143
442.55679,1.94961,0.562
444.50640,1.96302,0.440
446.46942,2.07929,0.191
448.54871,2.13068,0.362
450.67940,2.08268,0.629
452.76208,2.01405,0.421
454.77613,1.97862,0.429
456.75475,1.90811,0.760
458.66286,1.86103,0.447
460.52389,1.89352,0.340
462.41742,1.93998,0.555
464.35740,1.98565,0.444
466.34305,2.03783,0.525
468.38087,2.08627,0.528
470.46715,2.13918,0.333
472.60633,2.21203,0.308
474.81836,2.28259,0.232
477.10095,2.32183,0.385
479.42278,2.29344,0.562
481.71622,2.21630,0.615
483.93252,2.69031,0.449
486.62283,2.02727,0.445
488.65010,1.99597,0.664
490.64607,2.06431,0.593
492.71038,2.10661,0.744
494.81699,2.11605,0.532
496.93304,2.08807,0.279
499.02111,2.04497,0.558
501.06608,2.09077,0.241
503.15685,2.14798,0.633
505.30483,2.20864,0.561
507.51347,2.23987,0.221
509.75334,2.14246,0.575
511.89580,2.07667,0.103
513.97247,2.09289,0.667
516.06536,2.12121,0.578
518.18657,2.03788,0.637
520.22445,1.94584,0.044
522.17029,1.97329,0.511
524.14358,2.00749,0.736
526.15107,2.00205,0.185
528.15312,2.01509,0.364
530.16821,2.06117,0.394
532.22938,3.11532,0.439
